species	group	length	AR	wload	back	belly	ftype	sim	billcol	legcol	arrives	leaves	eggs	incub	ccare	diver	long-billed	webbed-feet	long-legs	wading-bird	plunge-dives	BMI	WSI	family	 forest-edges	 harbours	archipelago	coastal-meadows	fells	fields	forest-edges	forests	islets	lakes	marshland	meadows	nutrient-rich-lakes	pastures	ponds	reedbeds	sea-bays	sea-coast	shores	shrub-tundra	streams	wetlands	algae	berries	birds	carrion	chicks	clams	eggs	fish	frogs	garbage	grain	grass	hares	insects	invertebrates	larvae	lizards	molluscs	plants	rodents	seeds	shellfish	small-rodents	snails	snakes	squirrels	vertebrae	worms
sinisorsa	dabbling-ducks	long		large_wload	dappled-brown_back	beige_belly	C	different-looking_genders	orange_billcol	orange_legcol	early_migration_arrival	late_migration_leaving	many_eggs	F_incub	F_ccare			webbed-feet				robust	short-winged	anatinae										habitat_lakes									habitat_shores																		eats_invertebrates				eats_plants									
heinätavi	dabbling-ducks		small_AR		dappled-brown_back	beige_belly	C	different-looking_genders	grey_billcol	grey_legcol	average_migration_arrival	average_migration_leaving	many_eggs	F_incub	F_ccare			webbed-feet					short-winged	anatinae										habitat_lakes									habitat_shores																		eats_invertebrates				eats_plants									
lapasorsa	dabbling-ducks		large_AR	large_wload	dappled-brown_back	dark-brown_belly	C	different-looking_genders	greenish-brown_billcol	orange-red_legcol	average_migration_arrival	average_migration_leaving	many_eggs	F_incub	F_ccare			webbed-feet					short-winged	anatinae																			habitat_shores																		eats_invertebrates				eats_plants									
tukkasotka	diving-ducks			large_wload	dark-brown_back	dark-brown_belly	C	different-looking_genders	light-grey_billcol	bluish-grey_legcol	early_migration_arrival	late_migration_leaving	many_eggs	F_incub	F_ccare	diver		webbed-feet				robust	short-winged	anatinae			habitat_archipelago							habitat_lakes																										eats_insects				eats_molluscs	eats_plants									
punasotka	diving-ducks		large_AR	large_wload	beige_back	beige_belly	C	different-looking_genders	dark-grey_billcol	bluish-grey_legcol	average_migration_arrival	average_migration_leaving	many_eggs	F_incub	F_ccare	diver		webbed-feet				robust	short-winged	anatinae													habitat_nutrient-rich-lakes				habitat_sea-bays													eats_fish						eats_insects				eats_molluscs	eats_plants									
merihanhi	anserinae	long		large_wload	dappled-brown_back	light-grey_belly	C	similar-looking_genders	orange_billcol	pink_legcol	average_migration_arrival	average_migration_leaving	many_eggs	F_incub	both_ccare			webbed-feet				robust		anserinae			habitat_archipelago																				eats_algae										eats_grain	eats_grass																
kyhmyjoutsen	anserinae	long	large_AR	large_wload	white_back	white_belly	C	similar-looking_genders	red_billcol	dark-grey_legcol	early_migration_arrival	late_migration_leaving	many_eggs	F_incub	both_ccare			webbed-feet				robust	short-winged	anserinae			habitat_archipelago																																		eats_invertebrates				eats_plants									
kurki	gruifores	long		large_wload	grey_back	grey_belly	C	similar-looking_genders	reddish_billcol	black_legcol	average_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare		long-billed		long-legs	wading-bird		robust		gruidae											habitat_marshland																				eats_frogs		eats_grain			eats_insects					eats_plants				eats_small-rodents					
luhtakana	rallidae	short	small_AR		dappled-brown_back	grey_belly	C	similar-looking_genders	red_billcol	reddish-brown_legcol	early_migration_arrival	average_migration_leaving	many_eggs	both_incub	both_ccare		long-billed		long-legs	wading-bird		skinny	short-winged	rallidae													habitat_nutrient-rich-lakes			habitat_reedbeds	habitat_sea-bays																								eats_plants								eats_vertebrae	
ruisrääkkä	rallidae	short	small_AR		dappled-brown_back	beige_belly	C	similar-looking_genders	beige_billcol	reddish-brown_legcol	late_migration_arrival	average_migration_leaving	many_eggs	F_incub	F_ccare				long-legs	wading-bird		skinny		rallidae						habitat_fields						habitat_meadows																									eats_invertebrates				eats_plants		eats_seeds							
